processed 1 of 11 files
processed 11 of 11 files
         35593831 function calls (35376764 primitive calls) in 30.630 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.022    0.011 connection.py:1(<module>)
193395/185891    0.019    0.000    0.022    0.000 {built-in method builtins.len}
       23    0.000    0.000    0.022    0.001 overrides.py:223(decorator)
     1096    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      273    0.002    0.000    0.022    0.000 configparser.py:601(__init__)
      900    0.022    0.000    0.022    0.000 {built-in method io.open_code}
     1409    0.004    0.000    0.021    0.000 typing.py:729(__init__)
        1    0.000    0.000    0.021    0.021 tensorflow.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _yaml_api.py:1(<module>)
   266033    0.020    0.000    0.020    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.020    0.010 __init__.py:10(<module>)
        5    0.000    0.000    0.020    0.004 exceptions.py:1(<module>)
    42707    0.010    0.000    0.020    0.000 sre_parse.py:254(get)
      589    0.002    0.000    0.020    0.000 typing.py:431(Union)
    11602    0.008    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
       91    0.013    0.000    0.020    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      423    0.001    0.000    0.019    0.000 scanner.py:746(fetch_plain)
       11    0.000    0.000    0.019    0.002 csvs.py:259(_save)
    33616    0.014    0.000    0.018    0.000 lex_attrs.py:181(is_stop)
        2    0.001    0.001    0.018    0.009 tokenizer_exceptions.py:1(<module>)
        1    0.000    0.000    0.018    0.018 util.py:1108(compile_suffix_regex)
       11    0.000    0.000    0.018    0.002 csvs.py:292(_save_body)
    74183    0.018    0.000    0.018    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.018    0.018 vocab.pyx:1(__Pyx_PyMODINIT_FUNC PyInit_vocab(void))
      750    0.005    0.000    0.018    0.000 phrasematcher.pyx:156(add)
       11    0.000    0.000    0.017    0.002 csvs.py:302(_save_chunk)
        1    0.000    0.000    0.017    0.017 compute.py:210(_make_global_functions)
     4869    0.005    0.000    0.017    0.000 sre_parse.py:295(_class_escape)
    99539    0.015    0.000    0.017    0.000 {built-in method builtins.max}
      107    0.001    0.000    0.017    0.000 compute.py:190(_wrap_function)
32252/31899    0.006    0.000    0.017    0.000 {built-in method builtins.hasattr}
   335411    0.017    0.000    0.017    0.000 doc.pyx:42(bounds_check)
        1    0.000    0.000    0.017    0.017 ssl_.py:1(<module>)
