         8045514 function calls (7978869 primitive calls) in 9.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.103    0.103 metadata.py:554(entry_points)
      255    0.001    0.000    0.102    0.000 metadata.py:559(<genexpr>)
5217/4957    0.007    0.000    0.101    0.000 typing.py:269(inner)
        3    0.000    0.000    0.099    0.033 generic.py:1(<module>)
        1    0.000    0.000    0.095    0.095 initialize.py:1(<module>)
        2    0.000    0.000    0.093    0.046 pretrain.py:1(<module>)
        1    0.000    0.000    0.092    0.092 schemas.py:1(<module>)
      254    0.000    0.000    0.085    0.000 metadata.py:259(entry_points)
        1    0.000    0.000    0.085    0.085 language.py:2016(deserialize_vocab)
        1    0.000    0.000    0.085    0.085 {method 'from_disk' of 'spacy.vocab.Vocab' objects}
        1    0.059    0.059    0.085    0.085 vocab.pyx:444(from_disk)
    14921    0.053    0.000    0.080    0.000 lex_attrs.py:22(like_num)
     5185    0.007    0.000    0.080    0.000 scanner.py:166(check_token)
     2246    0.069    0.000    0.079    0.000 sre_compile.py:276(_optimize_charset)
        7    0.000    0.000    0.077    0.011 language.py:730(add_pipe)
        7    0.000    0.000    0.077    0.011 language.py:617(create_pipe)
       15    0.000    0.000    0.074    0.005 config.py:748(_make)
    72/15    0.005    0.000    0.074    0.005 config.py:795(_fill)
        5    0.000    0.000    0.073    0.015 model.py:583(from_bytes)
     4849    0.003    0.000    0.070    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     2768    0.070    0.000    0.070    0.000 tokenizer.pyx:564(_validate_special_case)
   238035    0.041    0.000    0.069    0.000 doc.pyx:476(__iter__)
     4929    0.068    0.000    0.068    0.000 {built-in method posix.stat}
      271    0.002    0.000    0.068    0.000 parser.py:636(parse_block_mapping_value)
      124    0.000    0.000    0.067    0.001 _msgpack_api.py:17(msgpack_loads)
      124    0.000    0.000    0.066    0.001 __init__.py:70(unpackb)
      900    0.004    0.000    0.064    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      254    0.001    0.000    0.063    0.000 metadata.py:104(_from_text)
        1    0.000    0.000    0.062    0.062 requirements.py:5(<module>)
   396434    0.061    0.000    0.062    0.000 tokenizer.pyx:347(_try_specials_and_cache)
      695    0.004    0.000    0.062    0.000 scanner.py:215(fetch_more_tokens)
        1    0.000    0.000    0.058    0.058 _internal.py:1(<module>)
      152    0.037    0.000    0.057    0.000 __init__.py:100(get_all)
     6212    0.002    0.000    0.057    0.000 vocab.pyx:161(get_by_orth)
28901/14921    0.026    0.000    0.057    0.000 util.py:1143(_get_attr_unless_lookup)
     1070    0.001    0.000    0.055    0.000 inspect.py:3128(signature)
        5    0.001    0.000    0.055    0.011 model.py:604(from_dict)
1228/1093    0.008    0.000    0.055    0.000 inspect.py:2244(_signature_from_callable)
       57    0.027    0.000    0.054    0.001 config.py:1013(make_promise_schema)
     1070    0.001    0.000    0.054    0.000 inspect.py:2876(from_callable)
        1    0.000    0.000    0.053    0.053 _decorators.py:1(<module>)
   236984    0.026    0.000    0.053    0.000 doc.pyx:897(__pyx_fuse_0push_back)
      391    0.003    0.000    0.049    0.000 parser.py:605(parse_block_mapping_key)
        2    0.000    0.000    0.049    0.024 main.py:3(<module>)
        1    0.000    0.000    0.049    0.049 environment.py:1(<module>)
        1    0.000    0.000    0.048    0.048 model.py:1(<module>)
        1    0.000    0.000    0.048    0.048 frame.py:1(<module>)
    14921    0.037    0.000    0.048    0.000 lex_attrs.py:90(like_url)
        3    0.000    0.000    0.047    0.016 {method 'from_disk' of 'spacy.pipeline.trainable_pipe.TrainablePipe' objects}
        3    0.000    0.000    0.047    0.016 trainable_pipe.pyx:320(from_disk)
      269    0.003    0.000    0.047    0.000 configparser.py:601(__init__)
  847/593    0.001    0.000    0.046    0.000 typing.py:350(__getitem__)
        3    0.003    0.001    0.046    0.015 trainable_pipe.pyx:331(load_model)
        8    0.000    0.000    0.044    0.005 config.py:720(resolve)
        1    0.000    0.000    0.043    0.043 util.py:1119(compile_infix_regex)
    42720    0.020    0.000    0.043    0.000 sre_parse.py:254(get)
   471936    0.043    0.000    0.043    0.000 tokenizer.pyx:98(__get__)
        1    0.000    0.000    0.043    0.043 _yaml_api.py:1(<module>)
     1409    0.008    0.000    0.042    0.000 typing.py:729(__init__)
      114    0.000    0.000    0.041    0.000 functools.py:872(wrapper)
        1    0.010    0.010    0.041    0.041 tokenizer.pyx:226(_apply_special_cases)
   430530    0.041    0.000    0.041    0.000 tokenizer.pyx:74(__get__)
      114    0.000    0.000    0.041    0.000 model.py:798(deserialize_attr)
        1    0.000    0.000    0.041    0.041 tensorflow.py:1(<module>)
        1    0.000    0.000    0.040    0.040 vocab.pyx:1(__Pyx_PyMODINIT_FUNC PyInit_vocab(void))
   472622    0.040    0.000    0.040    0.000 tokenizer.pyx:90(__get__)
      965    0.004    0.000    0.040    0.000 textwrap.py:414(dedent)
       14    0.000    0.000    0.040    0.003 config.py:372(from_str)
        1    0.000    0.000    0.040    0.040 connectionpool.py:1(<module>)
      588    0.003    0.000    0.039    0.000 typing.py:431(Union)
        2    0.000    0.000    0.039    0.019 __init__.py:10(<module>)
        2    0.002    0.001    0.038    0.019 tokenizer_exceptions.py:1(<module>)
   393972    0.038    0.000    0.038    0.000 tokenizer.pyx:82(__get__)
168408/168406    0.032    0.000    0.037    0.000 {built-in method builtins.isinstance}
   248156    0.037    0.000    0.037    0.000 token.pxd:21(cinit)
        1    0.000    0.000    0.037    0.037 string_arrow.py:1(<module>)
    74198    0.036    0.000    0.036    0.000 sre_parse.py:233(__next)
   398936    0.036    0.000    0.036    0.000 tokenizer.pyx:106(__get__)
        1    0.000    0.000    0.036    0.036 compute.py:18(<module>)
        2    0.000    0.000    0.036    0.018 connection.py:1(<module>)
      423    0.001    0.000    0.036    0.000 scanner.py:746(fetch_plain)
      316    0.001    0.000    0.035    0.000 overrides.py:183(decorator)
     1093    0.012    0.000    0.035    0.000 inspect.py:2150(_signature_from_function)
        1    0.000    0.000    0.034    0.034 pyparsing.py:27(<module>)
      269    0.010    0.000    0.034    0.000 configparser.py:1320(__init__)
    11776    0.014    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        2    0.000    0.000    0.034    0.017 lex_attrs.py:1(<module>)
     1095    0.007    0.000    0.034    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      141    0.033    0.000    0.033    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.033    0.033 pyarrow.py:1(<module>)
199004/192008    0.028    0.000    0.033    0.000 {built-in method builtins.len}
        1    0.001    0.001    0.032    0.032 __init__.py:20(<module>)
      900    0.031    0.000    0.031    0.000 {built-in method io.open_code}
    14921    0.021    0.000    0.031    0.000 lex_attrs.py:33(is_ascii)
      612    0.031    0.000    0.031    0.000 {built-in method builtins.compile}
      423    0.010    0.000    0.031    0.000 scanner.py:1539(scan_plain)
33765/33687    0.014    0.000    0.030    0.000 {method 'join' of 'str' objects}
        5    0.000    0.000    0.030    0.006 exceptions.py:1(<module>)
        7    0.000    0.000    0.030    0.004 config.py:734(fill)
     4869    0.011    0.000    0.029    0.000 sre_parse.py:295(_class_escape)
    42147    0.021    0.000    0.029    0.000 sre_parse.py:164(__getitem__)
      542    0.001    0.000    0.029    0.000 parser.py:345(parse_block_node_or_indentless_sequence)
        1    0.000    0.000    0.029    0.029 specifiers.py:5(<module>)
      543    0.006    0.000    0.028    0.000 parser.py:353(parse_node)
       14    0.028    0.002    0.028    0.002 doc.pyx:1003(_realloc)
    15141    0.025    0.000    0.028    0.000 sre_parse.py:172(append)
        1    0.000    0.000    0.027    0.027 ssl_.py:1(<module>)
        1    0.000    0.000    0.027    0.027 util.py:1108(compile_suffix_regex)
32602/32249    0.011    0.000    0.027    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.027    0.027 url.py:1(<module>)
     1437    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      268    0.001    0.000    0.026    0.000 configparser.py:720(read_string)
        1    0.000    0.000    0.026    0.026 utils.py:3(<module>)
   172712    0.026    0.000    0.026    0.000 {method 'append' of 'list' objects}
     1544    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      268    0.000    0.000    0.026    0.000 configparser.py:705(read_file)
        2    0.000    0.000    0.026    0.013 types.py:1(<module>)
        1    0.000    0.000    0.026    0.026 initializers.py:1(<module>)
      268    0.011    0.000    0.025    0.000 configparser.py:996(_read)
   115644    0.025    0.000    0.025    0.000 {method 'startswith' of 'str' objects}
     1798    0.009    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
   197415    0.025    0.000    0.025    0.000 tokenizer.pyx:495(_save_cached)
     3011    0.010    0.000    0.025    0.000 typing.py:137(_type_check)
       26    0.000    0.000    0.024    0.001 pyparsing.py:3294(__init__)
        2    0.000    0.000    0.024    0.012 _util.py:1(<module>)
      750    0.007    0.000    0.024    0.000 phrasematcher.pyx:156(add)
 6335/549    0.017    0.000    0.023    0.000 sre_parse.py:174(getwidth)
     9133    0.011    0.000    0.023    0.000 typing.py:703(__setattr__)
    14921    0.015    0.000    0.023    0.000 lex_attrs.py:26(is_punct)
        1    0.004    0.004    0.023    0.023 tokenizer.pyx:286(_prepare_special_spans)
    60980    0.022    0.000    0.022    0.000 {method 'lower' of 'str' objects}
      919    0.022    0.000    0.022    0.000 {method 'read' of '_io.BufferedReader' objects}
       14    0.002    0.000    0.022    0.002 config.py:201(interpret_config)
      427    0.003    0.000    0.022    0.000 typing.py:822(__getitem__)
    29656    0.015    0.000    0.022    0.000 lex_attrs.py:145(lower)
      124    0.021    0.000    0.022    0.000 {srsly.msgpack._unpacker.unpackb}
        1    0.000    0.000    0.022    0.022 multiarray.py:1(<module>)
    14148    0.012    0.000    0.022    0.000 lookups.py:119(__contains__)
      254    0.002    0.000    0.021    0.000 metadata.py:508(read_text)
        1    0.000    0.000    0.021    0.021 _internal_utils.py:3(<module>)
        2    0.000    0.000    0.021    0.011 compat.py:3(<module>)
      254    0.001    0.000    0.020    0.000 typing.py:469(Optional)
     1985    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap>:385(cached)
        4    0.000    0.000    0.020    0.005 core.py:1(<module>)
        1    0.000    0.000    0.019    0.019 overrides.py:1(<module>)
        1    0.000    0.000    0.019    0.019 compute.py:210(_make_global_functions)
        2    0.000    0.000    0.019    0.010 lookups.py:297(from_disk)
    41836    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
      314    0.000    0.000    0.019    0.000 sre_parse.py:96(closegroup)
      618    0.002    0.000    0.019    0.000 typing.py:831(copy_with)
    45489    0.019    0.000    0.019    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.019    0.019 index_tricks.py:1(<module>)
      107    0.001    0.000    0.019    0.000 compute.py:190(_wrap_function)
        2    0.002    0.001    0.019    0.009 lookups.py:267(from_bytes)
      271    0.002    0.000    0.018    0.000 metadata.py:444(search)
11528/7310    0.007    0.000    0.018    0.000 doc.pyx:443(__getitem__)
     1378    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1086    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
     1915    0.018    0.000    0.018    0.000 {method 'sub' of 're.Pattern' objects}
     8535    0.009    0.000    0.018    0.000 scanner.py:198(need_more_tokens)
     1968    0.011    0.000    0.018    0.000 functools.py:35(update_wrapper)
    14921    0.009    0.000    0.018    0.000 lex_attrs.py:86(like_email)
        7    0.000    0.000    0.018    0.003 base.py:1(<module>)
        3    0.000    0.000    0.017    0.006 config.py:445(from_disk)
        1    0.000    0.000    0.017    0.017 _add_newdocs_scalars.py:1(<module>)
      291    0.008    0.000    0.017    0.000 {built-in method io.open}
      160    0.000    0.000    0.017    0.000 _decorators.py:483(__call__)
     1409    0.003    0.000    0.017    0.000 typing.py:667(__init__)
    11776    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     4596    0.009    0.000    0.016    0.000 sre_parse.py:258(getwhile)
        9    0.000    0.000    0.016    0.002 six.py:85(_import_module)
        4    0.000    0.000    0.016    0.004 six.py:117(_resolve)
        1    0.000    0.000    0.016    0.016 __init__.py:19(<module>)
       22    0.001    0.000    0.016    0.001 language.py:474(add_factory)
        1    0.000    0.000    0.016    0.016 collocate_single_text.py:31(clean_file)
      273    0.016    0.000    0.016    0.000 {built-in method builtins.dir}
        9    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:415(spec_from_loader)
        1    0.000    0.000    0.015    0.015 platform.py:3(<module>)
        1    0.000    0.000    0.015    0.015 universaldetector.py:28(<module>)
       32    0.000    0.000    0.015    0.000 six.py:190(find_spec)
