processed 1 of 11 files
processed 11 of 11 files
         35169196 function calls (34952123 primitive calls) in 36.515 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4884    0.048    0.000    0.048    0.000 {built-in method posix.stat}
    66896    0.032    0.000    0.045    0.000 lex_attrs.py:145(lower)
     5185    0.004    0.000    0.044    0.000 scanner.py:166(check_token)
       11    0.000    0.000    0.042    0.004 collocate_single_text.py:18(read_txt)
    33626    0.020    0.000    0.042    0.000 lex_attrs.py:86(like_email)
   207407    0.041    0.000    0.041    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.040    0.040 multiarray.py:1(<module>)
        1    0.000    0.000    0.040    0.040 numerictypes.py:1(<module>)
52263/52185    0.023    0.000    0.038    0.000 {method 'join' of 'str' objects}
      271    0.001    0.000    0.038    0.000 parser.py:636(parse_block_mapping_value)
        1    0.000    0.000    0.037    0.037 overrides.py:1(<module>)
      269    0.003    0.000    0.036    0.000 configparser.py:601(__init__)
        1    0.000    0.000    0.035    0.035 string_arrow.py:1(<module>)
        1    0.000    0.000    0.034    0.034 compute.py:18(<module>)
        1    0.000    0.000    0.034    0.034 util.py:1119(compile_infix_regex)
      695    0.002    0.000    0.034    0.000 scanner.py:215(fetch_more_tokens)
       11    0.001    0.000    0.034    0.003 collocate_single_text.py:60(calc_mi)
   281701    0.033    0.000    0.033    0.000 {method 'isalpha' of 'str' objects}
        1    0.000    0.000    0.032    0.032 requirements.py:5(<module>)
   279260    0.031    0.000    0.031    0.000 {method 'isupper' of 'str' objects}
    60556    0.030    0.000    0.030    0.000 {method 'match' of 're.Pattern' objects}
        2    0.000    0.000    0.029    0.015 main.py:3(<module>)
162437/162415    0.024    0.000    0.029    0.000 {built-in method builtins.isinstance}
    33626    0.021    0.000    0.028    0.000 lex_attrs.py:78(is_currency)
   246233    0.028    0.000    0.028    0.000 {method 'append' of 'list' objects}
      391    0.003    0.000    0.028    0.000 parser.py:605(parse_block_mapping_key)
        1    0.000    0.000    0.027    0.027 model.py:1(<module>)
       14    0.000    0.000    0.027    0.002 config.py:372(from_str)
  848/594    0.001    0.000    0.027    0.000 typing.py:350(__getitem__)
        1    0.000    0.000    0.027    0.027 connectionpool.py:1(<module>)
       11    0.000    0.000    0.026    0.002 csvs.py:259(_save)
        1    0.000    0.000    0.026    0.026 util.py:1108(compile_suffix_regex)
        1    0.000    0.000    0.026    0.026 pyarrow.py:1(<module>)
        1    0.000    0.000    0.026    0.026 _yaml_api.py:1(<module>)
      269    0.007    0.000    0.026    0.000 configparser.py:1320(__init__)
  916/781    0.003    0.000    0.026    0.000 inspect.py:2244(_signature_from_callable)
      160    0.000    0.000    0.025    0.000 _decorators.py:483(__call__)
       90    0.018    0.000    0.025    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      758    0.001    0.000    0.025    0.000 inspect.py:3128(signature)
       11    0.000    0.000    0.025    0.002 csvs.py:292(_save_body)
        1    0.000    0.000    0.025    0.025 __init__.py:20(<module>)
     1095    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       11    0.000    0.000    0.025    0.002 csvs.py:302(_save_chunk)
193391/185887    0.022    0.000    0.025    0.000 {built-in method builtins.len}
      758    0.000    0.000    0.024    0.000 inspect.py:2876(from_callable)
      899    0.024    0.000    0.024    0.000 {built-in method io.open_code}
        2    0.000    0.000    0.024    0.012 connection.py:1(<module>)
        1    0.000    0.000    0.024    0.024 environment.py:1(<module>)
    11596    0.010    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     1915    0.023    0.000    0.023    0.000 {method 'sub' of 're.Pattern' objects}
   266043    0.023    0.000    0.023    0.000 {built-in method builtins.ord}
     4869    0.007    0.000    0.023    0.000 sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.023    0.023 tensorflow.py:1(<module>)
     1408    0.005    0.000    0.023    0.000 typing.py:729(__init__)
    42707    0.011    0.000    0.023    0.000 sre_parse.py:254(get)
      589    0.002    0.000    0.022    0.000 typing.py:431(Union)
    33626    0.017    0.000    0.022    0.000 lex_attrs.py:181(is_stop)
        2    0.000    0.000    0.022    0.011 __init__.py:10(<module>)
        2    0.002    0.001    0.022    0.011 tokenizer_exceptions.py:1(<module>)
    36696    0.021    0.000    0.021    0.000 {spacy.strings.get_string_id}
    74183    0.021    0.000    0.021    0.000 sre_parse.py:233(__next)
        5    0.000    0.000    0.021    0.004 exceptions.py:1(<module>)
      917    0.021    0.000    0.021    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.021    0.021 vocab.pyx:1(__Pyx_PyMODINIT_FUNC PyInit_vocab(void))
      750    0.006    0.000    0.021    0.000 phrasematcher.pyx:156(add)
      231    0.001    0.000    0.020    0.000 _decorators.py:368(decorator)
      268    0.001    0.000    0.020    0.000 configparser.py:720(read_string)
   335404    0.020    0.000    0.020    0.000 doc.pyx:42(bounds_check)
    62229    0.010    0.000    0.019    0.000 doc.pyx:897(__pyx_fuse_1push_back)
        1    0.000    0.000    0.019    0.019 py3k.py:1(<module>)
    99535    0.017    0.000    0.019    0.000 {built-in method builtins.max}
      268    0.000    0.000    0.019    0.000 configparser.py:705(read_file)
      423    0.001    0.000    0.019    0.000 scanner.py:746(fetch_plain)
        2    0.013    0.007    0.019    0.009 pickle.py:1(<module>)
      268    0.009    0.000    0.019    0.000 configparser.py:996(_read)
      965    0.019    0.000    0.019    0.000 {method 'findall' of 're.Pattern' objects}
     1798    0.007    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
32248/31895    0.007    0.000    0.018    0.000 {built-in method builtins.hasattr}
    33626    0.012    0.000    0.018    0.000 lex_attrs.py:157(is_alpha)
    33626    0.010    0.000    0.018    0.000 lex_attrs.py:165(is_lower)
        1    0.000    0.000    0.018    0.018 ssl_.py:1(<module>)
        1    0.000    0.000    0.017    0.017 pyparsing.py:27(<module>)
   110662    0.017    0.000    0.017    0.000 {built-in method builtins.min}
       33    0.001    0.000    0.017    0.001 managers.py:1144(insert)
        1    0.000    0.000    0.017    0.017 url.py:1(<module>)
        2    0.000    0.000    0.017    0.008 lex_attrs.py:1(<module>)
     1437    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
